Weak Regression,Less Weak Regression,Weak Medium Regression,Medium Regression,Strong Medium Regression,Less Strong Regression,Strong Regression,Feature
1.019610269,0.383746548,0,0,0,0,0,920.5
2.697143841,0.794670547,0,0,0,0,0,921
3.423986407,0.892488286,0,0,0,0,0,921.5
3.144878979,0.723665651,0,0,0,0,0,922
1.7476933,0.201895422,0,0,0,0,0,922.5
0.391131564,0.342169418,0,0.183830727,0,0,0,923
3.037755901,1.331534542,0.493352533,0.584655487,0,0,0,923.5
4.871830188,1.962432893,1.220296197,0.161906379,0,0,0,924
5.625186063,2.203813842,1.40411999,0,0,0,0,924.5
4.88088463,1.941357602,0.625334238,0,0,0,0,925
2.603488647,1.090365891,0,0,0,0,0,925.5
0.329038741,0,0,0,0,0,0,926
2.933627764,0.722031112,0,0,0,0,0,926.5
4.824198134,1.576925115,0.151972191,0,0,0,0,927
4.605371911,1.747248632,0.992365679,0,0,0,0,927.5
2.927326759,1.292748833,0.820443466,0,0,0,0,928
0.440129524,0.600303519,0,0,0,0,0,928.5
1.469314619,0,0,0,0,0.012769801,0,929
2.407689747,0.35221559,0,0,0,0.03326973,0,929.5
1.803702703,0.507011115,0,0,0.077785934,0.024780463,0,930
0.543684023,0.335422991,0,0,0.016101082,0.012141303,0,930.5
0.513286451,0.17085594,0,0,0,0,0,931
0.840631802,0.119683931,0,0,0,0,0,931.5
0.220008727,0.351600051,0.37985118,0,0,0,0,932
0.793098442,0.56684333,0.706657767,0,0,0,0,932.5
1.905539076,0.882697232,0.863269536,0.317854515,0,0,0,933
2.084882851,0.866430622,0.541529486,0.269330869,0,0,0,933.5
1.698513472,0.655290949,0.055763779,0.023857027,0.027928044,0,0,934
0.594213583,0.250537946,0,0,0.031456011,0,0,934.5
0.512204478,0,0,0,0,0,0,935
1.290816657,0.159344194,0,0,0,0,0,935.5
1.366427359,0.267933443,0,0,0,0,0,936
0.75733702,0.200398409,0,0,0,0,0,936.5
0.181312457,0.018451134,0,0,0,0,0,937
1.159960355,0,0,0,0,0,0,937.5
1.848545544,0.282472631,0,0,0,0,0,938
1.912883614,0.360357298,0,0,0,0,0,938.5
1.457394157,0.46652241,0.208640943,0,0,0,0,939
0.567268766,0.458736207,0.404516148,0,0,0,0,939.5
0.243725812,0.444602464,0.549664759,0.104935867,0,0,0,940
0.731856736,0.382175046,0.58058612,0.456828675,0,0,0,940.5
0.590661327,0.514503379,0.593301487,0.502277047,0,0,0,941
0.164444455,0.590485962,0.540101836,0.252349056,0,0,0,941.5
0.568896219,0.602255421,0.378062779,0,0,0,0,942
1.321952888,0.629896088,0,0,0.12042114,0,0,942.5
1.67473142,0.464545878,0,0,0,0,0,943
1.483676739,0.087271132,0,0,0,0,0,943.5
1.000839464,0,0,0,0,0,0,944
0.234279949,0.094425617,0,0,0,0,0,944.5
0.367501107,0.282999627,0,0,0,0,0,945
0.752308038,0.32983957,0,0,0,0,0,945.5
0.635428298,0.03832812,0,0,0,0,0,946
0.319381418,0,0,0,0,0,0,946.5
0.177246155,0.421239062,0,0,0,0,0,947
0.991912339,0.736079987,0.270486789,0,0,0,0,947.5
1.468073249,1.082235916,0.912043855,0.118880156,0,0,0,948
1.481765794,0.974061946,0.977761306,0.588861241,0.086594681,0,0,948.5
1.035810919,0.696223896,0.582759534,0.433586897,0.084315454,0.033348728,0,949
0.134129833,0.11552948,0,0,0,0,0,949.5
0.265340557,0.006347079,0,0,0,0,0,950
0.247795245,0.136287871,0,0,0,0,0,950.5
0.307236865,0.078441832,0,0,0,0,0,951
1.217766509,0.057916359,0,0,0,0,0,951.5
1.581609251,0.126399415,0,0,0,0,0,952
1.391853712,0.432907518,0,0,0,0,0,952.5
0.413953117,0.448217369,0.271082196,0,0,0,0,953
0.676253967,0.449706888,0.471263776,0.293809741,0,0,0,953.5
1.349179501,0.441131054,0.610334706,0.441140003,0,0,0,954
1.025268908,0.589193525,0.729385872,0.187508549,0,0,0,954.5
0.423073287,0.761020304,0.786176928,0,0,0,0,955
2.595823929,1.119177965,0.631806655,0,0,0,0,955.5
4.223004656,1.133433342,0.139596357,0,0,0.041163191,0,956
4.3613668,0.801415217,0,0,0,0.018861691,0,956.5
2.467101174,0.160575055,0,0,0,0,0,957
0.67207777,0.583817932,0,0,0.196577507,0,0,957.5
4.242104396,1.554575203,0.757572817,0,0,0,0,958
6.060616958,1.818622625,1.023116636,0,0,0,0,958.5
5.317732395,1.252165501,0.12418422,0,0,0,0,959
1.985380864,0.101079658,0,0.211456284,0,0,0,959.5
2.412358054,1.291977309,0,0.623954021,0,0,0,960
6.35977801,2.659884451,1.576779698,0.308243834,0,0,0,960.5
8.146174746,3.122348657,2.37680126,0,0,0,0,961
6.796964331,2.424565694,1.660382476,0,0,0,0,961.5
2.933947714,0.982265365,0,0,0,0,0,962
1.5790893,0.192289348,0,0,0,0,0,962.5
5.110312088,1.61536135,0.350705591,0,0,0,0,963
6.245582667,2.121911742,1.258844382,0,0,0,0,963.5
4.63118545,1.721574103,1.070834008,0,0.100513042,0,0,964
1.233494106,0.696135107,0,0,0,0,0,964.5
2.273301552,0.318271596,0,0,0,0,0,965
4.632355986,1.170495938,0,0,0,0,0,965.5
4.980964098,1.514934906,0.600922419,0,0,0,0,966
3.229173165,1.25918841,0.754103446,0,0,0,0,966.5
0.270345683,0.497111896,0.306700654,0,0,0,0,967
2.45661694,0.199256436,0,0,0,0,0,967.5
3.862004581,0.612630375,0,0,0,0,0,968
