L1_1000,L1_0_001,L1_1,L1_35,L1_0_030,L1_0_010,L1_0_005,L2_1000,L2_35,L2_1,L2_0_030,L2_0_010,L2_0_005,L2_0_001,Feature
1.59842632,0,0.691283951,1.491275655,0,0.084303028,0.209286089,1.638545646,1.314279427,0.311408737,0.221789676,0.212478325,0.196856929,0.141637788,1180
1.407125904,0.126295051,1.016958614,1.358379416,0.351910143,0.260649038,0.129253548,1.531892464,1.28309156,0.788900865,0.240124398,0.200126994,0.18416835,0.141638173,1184
0.861136369,0.116527163,0.301660465,0.802032325,0,0.034587806,0.123581482,0.982005638,0.693254617,0.089443297,0.11360158,0.12924776,0.13579558,0.12571481,1188
1.359468669,0,0.891565828,1.299930395,0.13386172,0.146132996,0.108432627,1.484766476,1.210711417,0.550641356,0.138498514,0.129895548,0.128363317,0.113632715,1192
1.176975401,0,0.495577637,1.100193465,0.12398668,0.055958132,0.037667546,1.31319141,0.968990324,0.293241503,0.187060215,0.160434067,0.14445771,0.109548932,1196
1.61318046,0,1.078608497,1.549614603,0.207582201,0.21872849,0.172551561,1.733222067,1.445383707,0.721963362,0.204521338,0.160664213,0.142337202,0.10324931,1200
0.512891927,0,0.074232532,0.463620267,0,0,0.021654786,0.642365329,0.380243749,0.085410311,0.050136757,0.092117455,0.099584096,0.083334241,1204
1.596510208,0,1.007187921,1.529233142,0.154455739,0.063552296,0,1.720636886,1.426981089,0.736825463,0.165998593,0.113399329,0.092641765,0.06261392,1208
0.538217208,0,0.230688357,0.499862232,0,0,0,0.63075514,0.421438598,0.017207018,0.058447465,0.052212496,0.044388606,0.033375831,1212
1.79865597,0,0.948153112,1.704528042,0,0,0,1.924632307,1.560195311,0.644571162,0.03102802,0.008121223,0.008221193,0.012492478,1216
0.264845562,0,0.229374684,0.26835733,0,0,0,0.149911925,0.28177363,0.373259426,0.090536625,0.038998653,0.021998006,0.002324213,1220
2.170754895,0,1.283892042,2.075374717,0.009110254,0,0,2.308160572,1.917974926,0.930464319,0.186598857,0.078940546,0.043003689,0.014241543,1224
0.570285507,0,0.150043445,0.519339658,0,0,0,0.602301033,0.435998632,0.081957094,0.061712183,0.009347702,0.007785776,0.019675837,1228
1.196187092,0,0.703118684,1.143004821,0.002597077,0,0,1.462631117,1.052702246,0.396711019,0.07198525,0.05903823,0.053686108,0.036023605,1232
1.894132551,0,1.04150902,1.789898697,0.07087722,0,0,1.973507382,1.618737531,0.671605841,0.214993375,0.137554529,0.102287353,0.048824338,1236
0.375749128,0,0.051347374,0.34228158,0,0,0,0.59802273,0.287203642,0.162330985,0.095568918,0.024223615,0.001471641,0.01931539,1240
2.788630725,0,1.558295595,2.648554693,0,0,0,2.920751925,2.411942226,0.957599412,0.07698865,0.014696638,0.003143504,0.002072033,1244
0.408028727,0,0.092987927,0.36695676,0,0,0,0.638956968,0.298587038,0.129076142,0.058619151,0.049288633,0.047593064,0.032157364,1248
2.089403965,0,1.077084812,1.976770973,0.152794132,0.023033794,0,2.295087546,1.795583677,0.588375373,0.054691983,0.071439773,0.0685308,0.04641052,1252
1.350125968,0,0.616966492,1.263142645,0,0,0,1.577862179,1.114134636,0.13575432,0.130682458,0.106728485,0.085140745,0.049596273,1256
2.181222813,0,1.076013961,2.0666852,0,0,0,2.438907269,1.863736353,0.60135673,0.023442671,0.025426776,0.023862553,0.027872054,1260
0.835533209,0,0.522474502,0.780995742,0.018282831,0,0,1.040203773,0.715931553,0.256783422,0.184026618,0.121588644,0.077831482,0.006121158,1264
3.830988728,0,2.031275687,3.647141823,0,0,0,4.060810849,3.313885352,1.300258532,0.204127234,0.095990811,0.056957,0.004980374,1268
