Weak Lasso,Strong Lasso,Medium Lasso,Medium Weak Lasso,Medium Strong Lasso,Quite Strong Lasso,Almost Strong Lasso,Feature
1.61318046,0,1.078608497,1.549614603,0.207582201,1.57738569,1.581222093,1200
0.512891927,0,0.074232532,0.463620267,0,0.48251568,0.484909081,1204
1.596510208,0,1.007187921,1.529233142,0.154455739,1.559265513,1.56324498,1208
0.538217208,0,0.230688357,0.499862232,0,0.514154902,0.516390864,1212
1.79865597,0,0.948153112,1.704528042,0,1.745064623,1.750417177,1216
0.264845562,0,0.229374684,0.26835733,0,0.268512253,0.268732002,1220
2.170754895,0,1.283892042,2.075374717,0.009110254,2.1156875,2.121176524,1224
0.570285507,0,0.150043445,0.519339658,0,0.541533974,0.544899318,1228
1.196187092,0,0.703118684,1.143004821,0.002597077,1.163704919,1.16613978,1232
1.894132551,0,1.04150902,1.789898697,0.07087722,1.834090347,1.840531784,1236
0.375749128,0,0.051347374,0.34228158,0,0.355742083,0.357106233,1240
2.788630725,0,1.558295595,2.648554693,0,2.707319577,2.716205466,1244
0.408028727,0,0.092987927,0.36695676,0,0.383047213,0.383964143,1248
2.089403965,0,1.077084812,1.976770973,0.152794132,2.024695273,2.031792727,1252
1.350125968,0,0.616966492,1.263142645,0,1.29784094,1.30246948,1256
2.181222813,0,1.076013961,2.0666852,0,2.115210952,2.122303515,1260
0.835533209,0,0.522474502,0.780995742,0.018282831,0.803195502,0.804936005,1264
3.830988728,0,2.031275687,3.647141823,0,3.724036189,3.735633835,1268
0.173609258,0,0.046371753,0.123107377,0,0.143406078,0.146051707,1272
2.325654765,0,1.200627084,2.215368966,0,2.260731124,2.266154828,1276
1.506937801,0,0.787207843,1.416173744,0,1.455219717,1.462174458,1280
1.403881679,0,0.714578846,1.328267116,0.097479196,1.359248041,1.36144588,1284
0.57528281,0,0.041085723,0.514260189,0.330797046,0.538563444,0.543321598,1288
1.630898277,0,0.888630049,1.536187472,0,1.575851352,1.580798338,1292
0.953504999,0,0.39366048,0.90600246,0.100528224,0.926573994,0.929389791,1296
0.73246522,0,0.367445642,0.668935807,0,0.693617441,0.696615013,1300
1.116291677,0,0.604842696,1.08190363,0,1.097233704,1.099883667,1304
0.436524895,0,0.074621829,0.374852253,0.144510294,0.399251271,0.402028211,1308
0.823003068,0,0.515222106,0.811560454,0,0.818647806,0.820144902,1312
0.155941866,0,0.011609024,0.113852596,0,0.128709249,0.13050139,1316
0.735099903,0,0.406967869,0.712845612,0,0.725042729,0.726918619,1320
